,Vietnamese,Positive,Negative,"Anger
/ tức giận","Anticipation
/ Hi vọng","Disgust
/ chán ghét","Fear
/ sợ hãi","Joy
/ thích thú","Sadness
/ buồn bã","Surprise
/ ngạc nhiên","Trust
/ tin tưởng",
,hé mở,0,0,0,1,0,0,1,0,0,0,2
,hên,1,0,0,0,0,0,1,0,0,0,2
abject,hèn hạ,0,1,0,0,1,0,0,0,0,0,2
cowardly,hèn nhát,0,1,0,0,0,1,0,0,0,0,2
devotional,hết lòng,1,0,0,0,0,0,0,0,0,1,2
,hiếm,1,0,0,0,0,0,1,0,0,0,2
,hiện đại,1,0,0,1,0,0,0,0,0,0,2
sage,Hiền nhân,1,0,0,0,0,0,0,0,0,1,2
attainable,hiện thực,1,0,0,1,0,0,0,0,0,0,2
sage,hiền triết,1,0,0,0,0,0,0,0,0,1,2
covenant,hiệp định,1,0,0,0,0,0,0,0,0,1,2
concord,hiệp ước,1,0,0,0,0,0,0,0,0,1,2
depth,hiểu biết,1,0,0,0,0,0,0,0,0,1,2
formative,hình thành,1,0,0,0,0,0,0,0,0,1,2
,hở hang,0,1,0,0,0,0,0,0,1,0,2
apathetic,hờ hững,0,1,0,0,0,0,0,1,0,0,2
assist,hỗ trợ,1,0,0,0,0,0,0,0,0,1,2
,hoà bình,0,0,0,1,0,0,0,0,0,1,2
,hoà đồng,1,0,0,0,0,0,0,0,0,1,2
united,hoa hợp,1,0,0,0,0,0,0,0,0,1,2
grizzly,hoa râm,0,1,0,0,0,1,0,0,0,0,2
faultless,hoàn hảo,1,0,0,0,0,0,0,0,0,1,2
glee,hoan hỉ,1,0,0,0,0,0,1,0,0,0,2
reimbursement,hoàn lại,1,0,0,0,0,0,0,0,0,1,2
,hoàn toàn đúng,1,0,0,0,0,0,0,0,0,1,2
unconscionable,hoàn toàn vô ý,0,1,0,0,1,0,0,0,0,0,2
restitution,hoàn trả,1,0,1,0,0,0,0,0,0,0,2
,hoảng,0,1,0,0,0,0,0,0,1,0,2
,hoang dã,0,0,0,1,0,0,1,0,0,0,2
sunset,Hoàng hôn,1,0,0,1,0,0,0,0,0,0,2
afraid,hoảng loạn,0,1,0,0,0,1,0,0,0,0,2
animated,hoạt hình,1,0,0,0,0,0,1,0,0,0,2
,hói,0,1,0,0,0,0,0,1,0,0,2
,hối hận,0,1,0,0,0,0,0,1,0,0,2
,hời hợt,0,1,0,0,1,0,0,0,0,0,2
,hôi mốc,0,1,0,0,1,0,0,0,0,0,2
,hơi ngọt,1,0,0,0,0,0,1,0,0,0,2
renovate,hồi sức,1,0,0,1,0,0,0,0,0,0,2
,hối tiếc,0,1,0,0,0,0,0,1,0,0,2
,hội tụ,1,0,0,1,0,0,0,0,0,0,2
,hóm,1,0,0,0,0,0,1,0,0,0,2
,hóm hỉnh,1,0,0,0,0,0,1,0,0,0,2
buss,hôn,1,0,0,0,0,0,1,0,0,0,2
,hơn hẳn,1,0,0,0,0,0,0,0,0,1,2
,hổn hển,0,1,0,0,0,1,0,0,0,0,2
,hỗn láo,0,1,1,0,0,0,0,0,0,0,2
,hơn mức bình thường,1,0,0,1,0,0,0,0,0,0,2
,hơn người,1,0,0,1,0,0,0,0,0,0,2
,hỗn xược,0,1,1,0,0,0,0,0,0,0,2
attendant,hợp logic,1,0,0,0,0,0,0,0,0,1,2
attendant,hợp lý,1,0,0,0,0,0,0,0,0,1,2
,hợp mốt,1,0,0,0,0,0,1,0,0,0,2
,hợp nhãn,1,0,0,0,0,0,1,0,0,0,2
cooperative,hợp tác,1,0,0,0,0,0,0,0,0,1,2
,hợp với,1,0,0,1,0,0,0,0,0,0,2
choral,hợp xướng,1,0,0,0,0,0,1,0,0,0,2
,hợp ý,1,0,0,1,0,0,0,0,0,0,2
,hư hỏng,0,1,0,0,0,1,0,0,0,0,2
,hùng dũng,1,0,0,0,0,0,1,0,0,0,2
,hững hờ,0,1,0,0,0,0,0,1,0,0,2
guidance,hướng dẫn,1,0,0,0,0,0,0,0,0,1,2
,hữu dụng,1,0,0,1,0,0,0,0,0,0,2
,hữu ích,1,0,0,1,0,0,0,0,0,0,2
,hữu năng,1,0,0,1,0,0,0,0,0,0,2
,huỷ diệt,0,1,0,0,0,1,0,0,0,0,2
,huỷ hoại,0,1,0,0,0,1,0,0,0,0,2
,huyền thoại,0,0,0,0,0,0,1,0,0,1,2
,ích kỷ,0,1,0,0,1,0,0,0,0,0,2
,kê đơn,0,0,0,1,0,0,0,0,0,1,2
,kẻ tám lạng người nửa cân,0,0,0,1,0,0,1,0,0,0,2
,kém,0,1,0,0,0,0,0,1,0,0,2
grasping,keo cú,0,1,0,1,0,0,0,0,0,0,2
,keo kiết,0,1,0,0,0,0,0,0,1,0,2
structure,kết cấu,1,0,0,0,0,0,0,0,0,1,2
cooperative,kết hợp,1,0,0,0,0,0,0,0,0,1,2
,kết hợp chặt chẽ,1,0,0,0,0,0,0,0,0,1,2
,khả ái,1,0,0,0,0,0,1,0,0,0,2
,khả bại,0,1,0,0,0,0,0,1,0,0,2
,khả biến,0,0,0,1,0,0,0,0,1,0,2
,khá giàu,1,0,0,0,0,0,1,0,0,0,2
,khả kính,1,0,0,0,0,0,0,0,0,1,2
,khả tín,1,0,0,0,0,0,0,0,0,1,2
abnormal,khác thường,0,1,0,0,1,0,0,0,0,0,2
launch,khai trương,1,0,0,1,0,0,0,0,0,0,2
,khăm,0,1,0,0,0,1,0,0,0,0,2
,khan hiếm,0,1,0,1,0,0,0,0,0,0,2
affirmatively,khằng định,1,0,0,0,0,0,0,0,0,1,2
antifungal,kháng nấm,1,0,0,0,0,0,0,0,0,1,2
cosmopolitan,khắp thế giới,1,0,0,0,0,0,0,0,0,1,2
agitated,khích động,0,1,1,0,0,0,0,0,0,0,2
,khiếm nhã,0,1,0,0,1,0,0,0,0,0,2
humbled,khiêm nhường,1,0,0,0,0,0,0,1,0,0,2
humbled,khiếm tốn,1,0,0,0,0,0,0,1,0,0,2
,khiếp,0,1,1,0,0,0,0,0,0,0,2
,khiêu chiến,0,1,0,0,1,0,0,0,0,0,2
,khinh bỉ,0,1,0,0,1,0,0,0,0,0,2
contemptuous,khinh thường,0,1,1,0,0,0,0,0,0,0,2
arid,khô cằn,0,1,0,0,0,0,0,1,0,0,2
,khó chan hoà,0,1,0,0,0,1,0,0,0,0,2
,khó gần,0,1,0,0,0,1,0,0,0,0,2
enigmatic,khó hiểu,0,1,0,0,0,1,0,0,0,0,2
barren,khô khan,0,1,0,0,0,0,0,1,0,0,2
,khờ khạo,0,0,0,1,0,0,1,0,0,0,2
unpredictable,khó lường,0,1,0,0,0,0,0,0,1,0,2
,khó thấy,0,1,0,1,0,0,0,0,0,0,2
,khó thở,0,1,0,0,0,1,0,0,0,0,2
,khó xử,0,1,0,1,0,0,0,0,0,0,2
,khoả thân,0,0,0,0,0,0,1,0,1,0,2
,khoa trương,0,1,0,0,1,0,0,0,0,0,2
sensuous,khoái lạc,1,0,0,0,0,0,1,0,0,0,2
,khoan khoái,1,0,0,0,0,0,1,0,0,0,2
,khoan thai,1,0,0,0,0,0,1,0,0,0,2
,khóc lóc,0,1,0,0,0,0,0,1,0,0,2
boast,khoe khoang,1,1,0,0,0,0,0,0,0,0,2
launch,khởi đầu,1,0,0,1,0,0,0,0,0,0,2
,khôi hài,1,0,0,0,0,0,1,0,0,0,2
,khởi nghĩa,0,0,0,1,0,0,0,0,0,1,2
,khôi ngô,1,0,0,0,0,0,1,0,0,0,2
tumor,khối u,0,1,0,0,0,1,0,0,0,0,2
advisable,khôn ngoan,1,0,0,0,0,0,0,0,0,1,2
,không ái quốc,0,1,0,0,1,0,0,0,0,0,2
,không anh linh,0,1,0,0,0,0,0,1,0,0,2
,không bằng phẳng,0,1,0,1,0,0,0,0,0,0,2
,không bắt buộc,0,0,0,1,0,0,1,0,0,0,2
,không bền lòng,0,1,0,0,0,0,0,1,0,0,2
,không bền vững,0,1,0,1,0,0,0,0,0,0,2
,không bị biến chất,1,0,0,0,0,0,0,0,0,1,2
,không bị chiếm,1,0,0,1,0,0,0,0,0,0,2
,không bị chinh phục,1,0,0,0,0,0,0,0,0,1,2
,không bị chọc tức,1,0,0,0,0,0,1,0,0,0,2
,không bị hạn chế,1,0,0,0,0,0,0,0,0,1,2
,không bị hư hỏng,1,0,0,0,0,0,0,0,0,1,2
,không bị nghiện,1,0,0,0,0,0,0,0,0,1,2
,không bị nhiễm bẩn,1,0,0,1,0,0,0,0,0,0,2
,không bị rút cạn,1,0,0,1,0,0,0,0,0,0,2
,không bị rút hết,1,0,0,1,0,0,0,0,0,0,2
,không bị suy đồi,1,0,0,0,0,0,0,0,0,1,2
,không bị táo bón,1,0,0,0,0,0,1,0,0,0,2
,không bị tháo hết,1,0,0,1,0,0,0,0,0,0,2
,không bị trấn áp,1,0,0,0,0,0,0,0,0,1,2
,không cả quyết,0,1,0,0,1,0,0,0,0,0,2
,không cân,0,1,0,1,0,0,0,0,0,0,2
,không cân sức,0,1,0,1,0,0,0,0,0,0,2
,không cầu kì,0,0,0,1,0,0,1,0,0,0,2
,không cầu kỳ,0,0,0,1,0,0,1,0,0,0,2
,không chậm trễ,1,0,0,0,0,0,0,0,0,1,2
,không chân thật,0,1,0,0,1,0,0,0,0,0,2
,không chân tình,0,1,1,0,0,0,0,0,0,0,2
,không che đậy,0,1,0,0,0,0,0,0,0,1,2
,không che giấu,0,1,0,0,0,0,0,0,0,1,2
,không chỉ rõ,0,1,0,1,0,0,0,0,0,0,2
,không chịu được,0,0,1,0,1,0,0,0,0,0,2
,không chịu nổi,0,0,1,0,1,0,0,0,0,0,2
,không cho phép,0,1,0,1,0,0,0,0,0,0,2
,không chọc tức,1,0,0,0,0,0,1,0,0,0,2
uninterested,không chú ý,0,1,0,0,0,0,0,1,0,0,2
,không có hiệu lực,0,1,0,1,0,0,0,0,0,0,2
,không có hiệu lực pháp lí,0,1,0,0,0,0,0,1,0,0,2
,không có kế hoạch,0,1,0,0,1,0,0,0,0,0,2
,không có khả năng,0,1,0,0,0,0,0,1,0,0,2
,không có kịch bản,0,0,0,0,0,0,1,0,1,0,2
,không có mắt,0,0,0,1,0,0,0,0,1,0,2
,không có mùi vị,0,1,0,1,0,0,0,0,0,0,2
,không có năng lực,0,1,0,0,0,0,0,1,0,0,2
,không có năng suất,0,1,0,1,0,0,0,0,0,0,2
,không có phép tắc,0,1,0,0,1,0,0,0,0,0,2
,không có quai hàm,0,1,0,0,0,0,0,1,0,0,2
,không có sẵn,0,1,0,1,0,0,0,0,0,0,2
,không có tên tuổi,0,1,0,1,0,0,0,0,0,0,2
,không có thiện ý,0,1,0,0,0,0,0,1,0,0,2
,không có tiếng tăm,0,1,0,1,0,0,0,0,0,0,2
fruitless,không có trái,0,1,0,0,0,0,0,1,0,0,2
,không có trí thức,0,1,0,0,0,0,0,1,0,0,2
,không có vị,0,1,0,1,0,0,0,0,0,0,2
,không cuống,1,0,0,0,0,0,0,0,0,1,2
,không đăng kí hộ khẩu,0,1,0,0,0,1,0,0,0,0,2
,không đăng kí hộ tịch,0,1,0,0,0,1,0,0,0,0,2
,không đáng tin,0,1,0,0,1,0,0,0,0,0,2
,không đáng tin cậy,0,1,0,0,1,0,0,0,0,0,2
,không dành riêng,0,0,0,1,0,0,0,1,0,0,2
abysmal,không đáy,0,1,0,0,0,0,0,1,0,0,2
,không dễ bị lừa,1,0,0,0,0,0,0,0,0,1,2
,không dễ cảm động,0,0,0,1,0,0,0,0,0,1,2
,không dễ gãy,1,0,0,1,0,0,0,0,0,0,2
,không dễ vỡ,1,0,0,1,0,0,0,0,0,0,2
,không dễ xúc cảm,0,0,0,1,0,0,0,0,0,1,2
,không dễ xúc động,0,0,0,1,0,0,0,0,0,1,2
,không đến nơi đến chốn,0,1,0,0,1,0,0,0,0,0,2
,không dính,0,1,0,0,1,0,0,0,0,0,2
,không định rõ,0,1,0,1,0,0,0,0,0,0,2
,không đối xứng,0,1,0,0,0,0,0,1,0,0,2
,không đủ,0,1,0,1,0,0,0,0,0,0,2
,không đủ tiêu chuẩn,0,1,0,0,0,0,0,1,0,0,2
,không đủ tư cách pháp lí,0,1,0,0,0,0,0,1,0,0,2
,không dức hạnh,0,1,0,0,1,0,0,0,0,0,2
,không đứng dắn,0,1,0,1,0,0,0,0,0,0,2
,không đúng lề lối,0,1,0,0,1,0,0,0,0,0,2
,không được cấp vốn,0,1,0,1,0,0,0,0,0,0,2
,không được chỉ rõ,0,1,0,1,0,0,0,0,0,0,2
,không được chính thức xác minh,0,1,0,0,0,0,0,1,0,0,2
,không được chứng nhận,0,1,0,0,0,0,0,1,0,0,2
,không được chứng thực,0,1,0,0,0,0,0,1,0,0,2
,không được định rõ,0,1,0,1,0,0,0,0,0,0,2
,không được ghi rõ,0,1,0,1,0,0,0,0,0,0,2
,không được giác ngộ,0,1,0,1,0,0,0,0,0,0,2
,không được khai sáng,0,1,0,1,0,0,0,0,0,0,2
,không được làm sáng tỏ,0,1,0,1,0,0,0,0,0,0,2
,không được lát đá,0,0,0,1,0,0,0,1,0,0,2
,không được mở mắt,0,1,0,1,0,0,0,0,0,0,2
,không được nói rõ,0,1,0,1,0,0,0,0,0,0,2
,không dứt điểm,0,1,1,0,0,0,0,0,0,0,2
,không dứt khoát,0,1,0,0,1,0,0,0,0,0,2
,không ép buộc,0,0,0,1,0,0,1,0,0,0,2
,không ghi rõ,0,1,0,1,0,0,0,0,0,0,2
,không gì có thể phá vỡ,1,0,0,0,0,0,0,0,0,1,2
,không giải thích được,0,1,0,1,0,0,0,0,0,0,2
unwavering,không giao động,1,0,0,0,0,0,0,0,0,1,2
,không gọn gàng,0,1,0,1,0,0,0,0,0,0,2
,không hề bối rối,1,0,0,0,0,0,0,0,0,1,2
,không hề nao núng,1,0,0,0,0,0,0,0,0,1,2
,không hiện đại,0,1,0,1,0,0,0,0,0,0,2
,không hiệu lực,0,1,0,1,0,0,0,0,0,0,2
,không hộ khẩu,0,1,0,0,0,1,0,0,0,0,2
,không hổ thẹn,1,0,0,0,0,0,0,0,0,1,2
,không hộ tịch,0,1,0,0,0,1,0,0,0,0,2
,không hối cải,0,1,1,0,0,0,0,0,0,0,2
,không hồn,0,1,0,0,0,1,0,0,0,0,2
,không hợp lý,0,1,1,0,0,0,0,0,0,0,2
,không hợp thời,0,1,0,0,0,0,0,1,0,0,2
,không kết nối,0,1,0,1,0,0,0,0,0,0,2
,không khách quan,0,1,0,0,1,0,0,0,0,0,2
,không khó tính,1,0,0,1,0,0,0,0,0,0,2
,không khôn khéo,0,1,0,0,1,0,0,0,0,0,2
,không khôn thiêng,0,1,0,0,0,0,0,1,0,0,2
,không kịch bản,0,0,0,0,0,0,1,0,1,0,2
,không kiên quyết,0,1,0,0,1,0,0,0,0,0,2
,không kín đáo,0,1,0,0,1,0,0,0,0,0,2
,không linh thiêng,0,1,0,0,0,0,0,1,0,0,2
,không lo,1,0,0,0,0,0,0,0,0,1,2
,khổng lồ,0,0,0,0,0,1,0,0,1,0,2
,không lo sợ,1,0,0,0,0,0,0,0,0,1,2
unfortunate,không may,0,1,0,0,0,0,0,1,0,0,2
,không mới mẻ,0,1,0,1,0,0,0,0,0,0,2
,không muốn,0,1,0,0,0,0,0,1,0,0,2
,không năng suất,0,1,0,1,0,0,0,0,0,0,2
,không nao núng,1,0,0,0,0,0,0,0,0,1,2
,không ngăn nắp,0,1,0,1,0,0,0,0,0,0,2
,không ngang sức,0,1,0,1,0,0,0,0,0,0,2
,không ngang tài,0,1,0,1,0,0,0,0,0,0,2
,không ngang tài ngang sức,0,1,0,1,0,0,0,0,0,0,2
,không nghi ngờ,1,0,0,0,0,0,0,0,0,1,2
,không ngừng nghỉ,0,0,0,1,0,0,1,0,0,0,2
,không nhà cửa,0,1,0,1,0,0,0,0,0,0,2
,không nhẵn,0,1,0,1,0,0,0,0,0,0,2
,không nhiễm bẩn,1,0,0,1,0,0,0,0,0,0,2
,không nhu mì,0,1,0,0,1,0,0,0,0,0,2
,không nói rõ,0,1,0,1,0,0,0,0,0,0,2
,không phải lối,0,1,0,0,1,0,0,0,0,0,2
,không phân biệt chủng tộc,1,0,0,0,0,0,0,0,0,1,2
,không phép tắc,0,1,0,0,1,0,0,0,0,0,2
,không phô trương,1,0,0,0,0,0,1,0,0,0,2
,không phù hợp,0,1,0,0,0,0,0,1,0,0,2
,không quan tâm đến người khác,0,1,0,0,0,0,0,1,0,0,2
inconsequential,không quan trọng,0,1,0,0,0,0,0,1,0,0,2
,không ra gì,0,1,0,0,1,0,0,0,0,0,2
,không rõ,0,1,0,1,0,0,0,0,0,0,2
,không sạch sẽ,0,1,0,1,0,0,0,0,0,0,2
,không sẵn,0,1,0,1,0,0,0,0,0,0,2
,không sẵn có,0,1,0,1,0,0,0,0,0,0,2
,không sẵn sàng,0,1,0,1,0,0,0,0,0,0,2
,không sáng tỏ,0,1,0,1,0,0,0,0,0,0,2
,không sợ sệt,1,0,0,0,0,0,0,0,0,1,2
,không suy tính trước,0,1,0,0,0,0,0,0,1,0,2
,không tề chỉnh,0,1,0,1,0,0,0,0,0,0,2
,không tế nhị,0,1,1,0,0,0,0,0,0,0,2
impermeable,không thấm,0,0,1,0,0,1,0,0,0,0,2
,không thành thật,0,1,1,0,0,0,0,0,0,0,2
,không thật,0,1,0,0,1,0,0,0,0,0,2
,không thật thà,0,1,1,0,0,0,0,0,0,0,2
unable,không thể,0,1,0,0,0,0,0,1,0,0,2
,không thể chấp nhận được,0,0,1,0,1,0,0,0,0,0,2
,không thể chịu đựng,0,0,1,0,1,0,0,0,0,0,2
,không thể chịu đựng nổi,0,0,1,0,1,0,0,0,0,0,2
indelible,không thể chùi bỏ,1,0,0,0,0,0,0,0,0,1,2
,không thể có được,0,1,0,1,0,0,0,0,0,0,2
,không thể dựa vào được,0,1,0,0,1,0,0,0,0,0,2
,không thể dung tha,0,1,0,0,1,0,0,0,0,0,2
,không thể dung thứ,0,1,0,0,1,0,0,0,0,0,2
,không thể giải thích,0,1,0,1,0,0,0,0,0,0,2
,không thể giải thích được,0,1,0,1,0,0,0,0,0,0,2
indefensible,không thể giữ,0,1,0,0,0,1,0,0,0,0,2
indestructible,không thể hủy diệt,1,0,0,0,0,0,0,0,0,1,2
,không thể khắc phục,0,1,0,0,0,0,0,1,0,0,2
,không thể làm nguôi được,0,1,0,1,0,0,0,0,0,0,2
,không thể lí giải,0,1,0,1,0,0,0,0,0,0,2
,không thể nghi ngờ được,1,0,0,0,0,0,0,0,0,1,2
,không thể phá vỡ,1,0,0,0,0,0,0,0,0,1,2
,không thể tha thứ,0,1,0,0,1,0,0,0,0,0,2
,không thể thanh toán,0,1,0,0,0,0,0,0,1,0,2
,không thể thay đổi được,1,0,0,0,0,0,0,0,0,1,2
,không thể tin cậy được,0,1,0,0,1,0,0,0,0,0,2
,không thể xảy ra,0,1,0,0,0,0,0,1,0,0,2
,không theo kịch bản,0,0,0,0,0,0,1,0,1,0,2
,không theo tuần hoàn,0,0,0,0,0,0,1,0,1,0,2
,không thích đáng,0,1,0,0,1,0,0,0,0,0,2
,không thiêng,0,1,0,0,0,0,0,1,0,0,2
,không thú vị,0,1,0,0,0,0,0,1,0,0,2
,không thuận tiện,0,1,0,1,0,0,0,0,0,0,2
,không thuỳ mị,0,1,0,0,1,0,0,0,0,0,2
,không tiện lợi,0,1,0,1,0,0,0,0,0,0,2
,không tiết hạnh,0,1,0,0,1,0,0,0,0,0,2
,không tin cậy,0,1,0,0,1,0,0,0,0,0,2
,không tin tưởng,0,1,0,0,1,0,0,0,0,0,2
,không tinh,0,1,0,1,0,0,0,0,0,0,2
,không trinh bạch,0,1,0,0,1,0,0,0,0,0,2
impure,không trong sạch,0,1,0,0,1,0,0,0,0,0,2
,không trung nghĩa,0,1,0,0,1,0,0,0,0,0,2
,không trung thành,0,1,0,0,1,0,0,0,0,0,2
,không tương đương,0,1,0,1,0,0,0,0,0,0,2
,không văn minh,0,1,0,0,1,0,0,0,0,0,2
disobedient,không vâng lời,0,1,1,0,0,0,0,0,0,0,2
,không vui,0,1,0,0,0,0,0,1,0,0,2
,không vui lòng,0,1,0,0,0,0,0,1,0,0,2
,không vững chắc,0,1,0,1,0,0,0,0,0,0,2
,không vướng bận,1,0,0,0,0,0,0,0,0,1,2
,không vượt qua được,0,1,0,0,0,0,0,1,0,0,2
,không xấu hổ,1,0,0,0,0,0,0,0,0,1,2
dispassionate,không xúc động,0,1,0,0,0,0,0,1,0,0,2
,không yên ổn,0,1,0,0,0,1,0,0,0,0,2
,không yêu nước,0,1,0,0,1,0,0,0,0,0,2
,khuất,0,1,0,0,0,0,0,1,0,0,2
,khuất tất,0,1,0,0,1,0,0,0,0,0,2
arouse,khuấy động,1,0,0,1,0,0,0,0,0,0,2
,khuếch đại,0,1,0,0,0,0,1,0,0,0,2
,khuếch tán,0,1,0,1,0,0,0,0,0,0,2
advise,Khuyến cáo,1,0,0,0,0,0,0,0,0,1,2
defective,khuyết điểm,0,1,0,0,1,0,0,0,0,0,2
,kĩ càng,1,0,0,0,0,0,0,0,0,1,2
grotesque,kì cục,0,1,0,0,1,0,0,0,0,0,2
,kĩ lưỡng,1,0,0,0,0,0,0,0,0,1,2
,kì quái,0,0,0,0,0,0,1,0,1,0,2
,kì vĩ,1,0,0,0,0,0,0,0,1,0,2
verified,kiểm lại,1,0,0,0,0,0,0,0,0,1,2
count,kiểm tra,1,0,0,0,0,0,0,0,0,1,2
,kiên cố,1,0,0,0,0,0,0,0,0,1,2
firmness,kiên quyết,1,0,0,0,0,0,0,0,0,1,2
,kiên tâm,1,0,0,0,0,0,0,0,0,1,2
,kiên trì,1,0,0,0,0,0,0,0,0,1,2
,kiệt lực,0,1,0,1,0,0,0,0,0,0,2
exhausted,kiệt quệ,0,1,0,0,0,0,0,1,0,0,2
,kiệt sức,0,1,0,1,0,0,0,0,0,0,2
masterpiece,kiệt tác,1,0,0,0,0,0,1,0,0,0,2
,kiêu hãnh,1,0,0,0,0,0,1,0,0,0,2
diamond,kim cương,1,0,0,0,0,0,1,0,0,0,2
,kinh khiếp,0,1,1,0,0,0,0,0,0,0,2
,kinh nghiệm,1,0,0,0,0,0,0,0,0,1,2
weird,kỳ dị,0,1,0,0,1,0,0,0,0,0,2
covenant,ký kết,1,0,0,0,0,0,0,0,0,1,2
,kỹ lưỡng,1,0,0,0,0,0,0,0,0,1,2
,kỳ quái,0,0,0,0,0,0,1,0,1,0,2
chronicle,ký sự,1,0,0,0,0,0,0,0,0,1,2
,lá mặt lá trái,0,1,0,0,0,1,0,0,0,0,2
admonition,la rầy,0,1,0,0,0,1,0,0,0,0,2
,lạc,0,1,0,0,0,0,0,1,0,0,2
astray,lạc đường,0,1,0,0,0,1,0,0,0,0,2
astray,lạc lối,0,1,0,0,0,1,0,0,0,0,2
corroborate,làm chứng,1,0,0,0,0,0,0,0,0,1,2
agonizing,làm đau đớn,0,1,0,0,0,1,0,0,0,0,2
,làm đẹp thêm,1,0,0,0,0,0,1,0,0,0,2
contaminate,làm dơ,0,1,0,0,1,0,0,0,0,0,2
,làm giảm giá trị,0,1,0,1,0,0,0,0,0,0,2
horrified,làm khiếp sợ,0,1,0,0,0,1,0,0,0,0,2
,lấm lem,0,1,0,0,0,0,0,0,1,0,2
,làm lo sợ,0,1,0,0,0,1,0,0,0,0,2
,làm mủi lòng,1,0,0,1,0,0,0,0,0,0,2
disheartening,làm nản lòng,0,1,0,0,0,0,0,1,0,0,2
humiliating,làm nhục,0,1,0,0,1,0,0,0,0,0,2
disheartening,làm nhụt chí,0,1,0,0,0,0,0,1,0,0,2
deflation,lạm phát,0,1,0,0,0,1,0,0,0,0,2
annoying,làm phiền,0,1,1,0,0,0,0,0,0,0,2
,lắm rừng,1,0,0,1,0,0,0,0,0,0,2
purification,làm sạch,1,0,0,0,0,0,0,0,0,1,2
,làm say sưa,1,0,0,1,0,0,0,0,0,0,2
,làm tổn thương,0,1,0,0,0,1,0,0,0,0,2
accomplish,làm trọn,1,0,0,0,0,0,1,0,0,0,2
,làm vừa ý,1,0,0,0,0,0,1,0,0,0,2
,làm vui lòng,1,0,0,0,0,0,1,0,0,0,2
accomplish,làm xong,1,0,0,0,0,0,1,0,0,0,2
attenuation,làm yếu đi,0,1,0,0,0,0,0,1,0,0,2
,lang băm,0,1,1,0,0,0,0,0,0,0,2
tranquil,lặng lẽ,1,0,0,0,0,0,1,0,0,0,2
,lặng người,0,0,0,0,0,1,0,1,0,0,2
,lặng người đi,0,0,0,0,0,1,0,1,0,0,2
changeable,lang thang,0,0,0,1,0,0,0,0,1,0,2
elusive,lảng tránh,0,1,0,0,0,0,0,0,1,0,2
,lạnh cứng,0,1,0,0,0,0,0,0,1,0,2
apathetic,lãnh đạm,0,1,0,0,0,0,0,1,0,0,2
,lành lặn,1,0,0,0,0,0,0,0,0,1,2
healthful,lành mạnh,1,0,0,0,0,0,1,0,0,0,2
wholesome,lạnh mạnh,1,0,0,0,0,0,0,0,0,1,2
geriatric,lão khoa,0,1,0,0,0,0,0,1,0,0,2
,láo xược,0,1,1,0,0,0,0,0,0,0,2
,lạt lẽo,0,1,0,0,0,1,0,0,0,0,2
,láu lỉnh,0,1,0,0,1,0,0,0,0,0,2
,lâu năm,1,0,0,0,0,0,0,0,0,1,2
,"lầy nhầy,",0,1,0,0,1,0,0,0,0,0,2
,lẹ,1,0,0,1,0,0,0,0,0,0,2
clerical,lễ nghi,1,0,0,0,0,0,0,0,0,1,2
,lí thú,1,0,0,0,0,0,1,0,0,0,2
,lịch thiệp,1,0,0,0,0,0,0,0,0,1,2
cohesive,liên kết,1,0,0,0,0,0,0,0,0,1,2
communicate,liên lạc,1,0,0,0,0,0,0,0,0,1,2
confederate,liên minh,1,0,0,0,0,0,0,0,0,1,2
,liều lĩnh,1,0,0,0,0,0,1,0,0,0,2
sentinel,lính canh,1,0,0,0,0,0,0,0,0,1,2
sentinel,lính gác,1,0,0,0,0,0,0,0,0,1,2
,lo,0,1,0,0,0,0,0,1,0,0,2
,lo âu,0,1,0,0,0,0,0,1,0,0,2
grotesque,lố bịch,0,1,0,0,1,0,0,0,0,0,2
absent,lơ đãng,0,1,0,0,0,0,0,1,0,0,2
,lơ đễnh,0,1,0,0,0,0,0,1,0,0,2
,lo lắng bứt rứt,0,1,0,0,0,1,0,0,0,0,2
,lộ liễu,0,1,0,0,0,0,0,0,1,0,2
,lơ mơ,0,1,0,0,0,0,1,0,0,0,2
incestuous,loạn luân,0,1,0,0,1,0,0,0,0,0,2
,loanh quanh,0,1,0,1,0,0,0,0,0,0,2
expletive,lời nguyền,0,1,1,0,0,0,0,0,0,0,2
barb,lời nói châm chọc,0,1,1,0,0,0,0,0,0,0,2
barb,lời nói chua cay,0,1,1,0,0,0,0,0,0,0,2
oath,lời thề,1,0,0,0,0,0,0,0,0,1,2
statement,lời tuyên bố,1,0,0,0,0,0,0,0,0,1,2
,lớn,1,0,0,0,0,0,0,0,1,0,2
,lộn ngược,0,0,0,0,0,0,1,0,1,0,2
,lộn tùng phèo,0,1,0,0,0,0,1,0,0,0,2
chaotic,lộn xộn,0,1,1,0,0,0,0,0,0,0,2
diamond,long lanh,1,0,0,0,0,0,1,0,0,0,2
clumsy,lóng ngóng,0,1,0,0,1,0,0,0,0,0,2
heartily,lồng nhiệt,1,0,0,0,0,0,1,0,0,0,2
allegiance,lòng trung thành,1,0,0,0,0,0,0,0,0,1,2
,lùng thùng,0,1,0,0,1,0,0,0,0,0,2
,lụng thụng,0,1,0,0,1,0,0,0,0,0,2
awkwardness,lúng túng,0,1,0,0,1,0,0,0,0,0,2
crouching,luồn cúi,0,1,0,0,0,1,0,0,0,0,2
wages,Lương,1,0,0,0,0,0,1,0,0,0,2
